"","all_trips_v3$member_casual","all_trips_v3$day_of_week","all_trips_v3$ride_length"
"1","casual","Sunday",1769.27168702644
"2","member","Sunday",849.878959420826
"3","casual","Monday",1508.19513661065
"4","member","Monday",725.421563810891
"5","casual","Tuesday",1272.64638185595
"6","member","Tuesday",737.767249652024
"7","casual","Wednesday",1327.81450569522
"8","member","Wednesday",747.052819967108
"9","casual","Thursday",1208.06014134854
"10","member","Thursday",702.33183400676
"11","casual","Friday",1401.46417996199
"12","member","Friday",718.514571290944
"13","casual","Saturday",1748.24025676295
"14","member","Saturday",872.834469376586
