start_station_name
"Sheffield Ave & Wrightwood Ave"
"Walsh Park"
"State St & Kinzie St"
"Ashland Ave & Wrightwood Ave"
"Michigan Ave & 14th St"
"Franklin St & Illinois St"
"Bernard St & Elston Ave"
"Damen Ave & Charleston St"
"Damen Ave & Chicago Ave"
"Damen Ave & Grand Ave"
"Ashland Ave & Wellington Ave"
"Lake Shore Dr & Diversey Pkwy"
"Sheffield Ave & Kingsbury St"
"Larrabee St & Division St"
"Clark St & Wellington Ave"
"Loomis St & Lexington St"
"Morgan St & 18th St"
"Glenwood Ave & Morse Ave"
"Carpenter St & Huron St"
"Clark St & Drummond Pl"
"Damen Ave & Division St"
"Broadway & Argyle St"
"California Ave & Francis Pl (Temp)"
"Canal St & Adams St"
"Shore Dr & 55th St"
"Cornell Ave & Hyde Park Blvd"
"Clark St & Lunt Ave"
"Rockwell St & Eastwood Ave"
"Wabash Ave & Roosevelt Rd"
"Clark St & Leland Ave"
"Lincoln Park Conservatory"
"Wells St & Walton St"
"Lincoln Ave & Waveland Ave"
"Winchester (Ravenswood) Ave & Balmoral Ave"
"Bissell St & Armitage Ave"
"Racine Ave & Wrightwood Ave"
"Clark St & Winnemac Ave"
"Streeter Dr & Grand Ave"
"Milwaukee Ave & Grand Ave"
"Lake Shore Dr & Wellington Ave"
"State St & Van Buren St"
"Racine Ave & 18th St"
"Damen Ave & Thomas St (Augusta Blvd)"
"Wilton Ave & Belmont Ave"
"Broadway & Waveland Ave"
"Racine Ave & Belmont Ave"
"Southport Ave & Waveland Ave"
"Wells St & Polk St"
"Western Ave & Lunt Ave"
"Fairbanks St & Superior St"
"Indiana Ave & Roosevelt Rd"
"Western Ave & Fillmore St (*)"
"Buckingham Fountain"
"Milwaukee Ave & Rockwell St"
"Wilton Ave & Diversey Pkwy"
"Clark St & Wrightwood Ave"
"Desplaines St & Jackson Blvd"
"LaSalle St & Washington St"
"Laflin St & Cullerton St"
"Daley Center Plaza"
"LaSalle Dr & Huron St"
"Michigan Ave & Ida B Wells Dr"
"Ashland Ave & Belle Plaine Ave"
"Sheridan Rd & Montrose Ave"
"Lincoln Ave & Diversey Pkwy"
"Clark St & Chicago Ave"
"Dearborn St & Erie St"
"Wells St & Elm St"
"Wood St & Milwaukee Ave"
"Canal St & Jackson Blvd"
"Sheridan Rd & Greenleaf Ave"
"Seeley Ave & Roscoe St"
"Western Ave & Howard St"
"Lake Park Ave & 56th St"
"Halsted St & Willow St"
"Wabash Ave & Grand Ave"
"Delano Ct & Roosevelt Rd"
"Marshfield Ave & Cortland St"
"Jefferson St & Monroe St"
"Dayton St & North Ave"
"Paulina St & 18th St"
"California Ave & Cortez St"
"Sangamon St & Washington Blvd"
"Milwaukee Ave & Wabansia Ave"
"Green St & Randolph St"
"Ogden Ave & Race Ave"
"Halsted St & Roscoe St"
"Millennium Park"
"Loomis St & Jackson Blvd"
"Broadway & Belmont Ave"
"Central St Metra"
"St. Clair St & Erie St"
"Racine Ave & Congress Pkwy"
"Clark St & Berwyn Ave"
"Spaulding Ave & Armitage Ave"
"Throop (Loomis) St & Taylor St"
"Logan Blvd & Elston Ave"
"Damen Ave & Cortland St"
"Damen Ave & Leland Ave"
"Lake Shore Dr & Belmont Ave"
